"","V1","V2","V3"
"1",0.281869692669733,-122.952954988425,2851.76445180362
"2",0.365839123891769,-117.996073286739,2742.84867023707
"3",0.428269187788788,-115.154894711637,2654.44785838548
"4",0.465060161212563,-111.795661095498,2561.73714912791
"5",0.506442946666828,-111.350804215197,2565.85849778706
"6",0.541849912538369,-110.92224063563,2566.39788985414
"7",0.563697362636996,-108.896580317331,2510.00582536297
"8",0.588297572603689,-108.164596017343,2512.44011694057
"9",0.616254091756282,-108.515197344728,2537.15867335293
"10",0.63655660047172,-108.009334760254,2540.52685786784
"11",0.656080790451789,-107.678493837423,2544.27737733195
"12",0.673470133383887,-106.733986509757,2514.84744464797
"13",0.691505021612873,-106.108405709515,2495.93655825537
"14",0.708109534797694,-105.373162675193,2475.40518382401
"15",0.721738447863904,-104.41905436914,2446.95472554561
"16",0.73511674803256,-103.531472982953,2417.07561938142
"17",0.749190540952274,-102.920910502462,2397.72546710225
"18",0.759192349108062,-101.979665864139,2378.37603960463
"19",0.771312475984113,-101.395091373653,2365.37770940786
"20",0.784933908141529,-101.28802317863,2369.60822042902
"21",0.797912499060186,-101.034593328112,2360.05335495168
"22",0.810593995664138,-100.901387113171,2362.87127940449
"23",0.820277810743629,-100.16210198606,2341.1666945628
"24",0.831244867575263,-99.8230986962192,2336.36864286906
"25",0.842412582009703,-99.4168015570066,2322.64949616254
"26",0.853689399851273,-99.2725038833785,2323.49361684384
"27",0.865252116978424,-99.1334880092019,2325.31415625946
"28",0.87458636208987,-98.6041088496367,2310.33533423615
"29",0.885066202112578,-98.2834869530982,2297.74550927908
"30",0.89681973327477,-98.5443173012108,2315.80772429944
"31",0.906109143859091,-98.2146795642276,2307.49198740816
"32",0.914327819689293,-97.6114018818232,2285.22974861491
"33",0.922505861577786,-97.2941273913115,2281.35806190997
"34",0.931578839702082,-96.9607494515622,2272.76656582321
"35",0.940872025175473,-96.8132197049931,2270.13562836327
"36",0.948459206373823,-96.2912199027599,2254.57055965424
"37",0.955043987976123,-95.4391281259205,2223.35705720888
"38",0.963696632345478,-95.4489859782934,2232.70999065203
"39",0.9702920527866,-94.7519542363523,2210.48235000008
"40",0.975931413328579,-93.8139697366729,2176.89064962474
"41",0.985990016241372,-93.7926172334403,2173.69557642887
"42",0.991666167863217,-93.0000486495088,2145.41706449974
"43",1.00027666064061,-92.9421933260953,2148.27215259919
"44",1.00703704582613,-92.4768718132023,2135.817832873
"45",1.01522215292892,-92.5397093888109,2146.27696143004
"46",1.02131333015733,-91.9889693681961,2128.4518749721
"47",1.02651864048311,-91.2591078658546,2104.8668970699
"48",1.034439997637,-91.1719147473052,2106.61182224775
